SampleID,run
3D7_10ka_S56,SMC2_NextSeq01_211022
3D7_100Kb_S103,SMC2_NextSeq01_211022
3D7_10kb_S152,SMC2_NextSeq01_211022
N3D7_100Ka_S7,SMC2_NextSEQ02_181122
N3D7_100Kb_S103,SMC2_NextSEQ02_181122
N3D7_100Kc_S199,SMC2_NextSEQ02_181122
N3D7_10ka_S56,SMC2_NextSEQ02_181122
N3D7_10kb_S152,SMC2_NextSEQ02_181122
N3D7_10kc_S248,SMC2_NextSEQ02_181122
N3D7100Ka_S7,SMC2_NextSeq03_221122
N3D7100Kb_S103,SMC2_NextSeq03_221122
N3D7100Kc_S199,SMC2_NextSeq03_221122
N3D710ka_S56,SMC2_NextSeq03_221122
N3D710kb_S152,SMC2_NextSeq03_221122
N3D710kc_S248,SMC2_NextSeq03_221122
N3D7100_S137,SMC2_NextSeq04_131222
N3D71K_S90,SMC2_NextSeq04_131222
N3D7_100d_S283,TES22_NextSeq01
N3D7_100Ka_S7,TES22_NextSeq01
N3D7_100Kb_S101,TES22_NextSeq01
N3D7_100Kc_S197,TES22_NextSeq01
N3D7_10ka_S56,TES22_NextSeq01
N3D7_10kb_S150,TES22_NextSeq01
N3D7_10kc_S244,TES22_NextSeq01
N3D7_1kd_S300,TES22_NextSeq01
